country,year,electricity_price
EU27_2020,2007,0.1682
EU27_2020,2008,0.164
EU27_2020,2009,0.1674
EU27_2020,2010,0.1751
EU27_2020,2011,0.1872
EU27_2020,2012,0.1956
EU27_2020,2013,0.2052
EU27_2020,2014,0.2071
EU27_2020,2015,0.2086
EU27_2020,2016,0.206
EU27_2020,2017,0.2089
EU27_2020,2018,0.2128
EU27_2020,2019,0.2168
EU27_2020,2020,0.2146
EU27_2020,2021,0.2309
EU27_2020,2022,0.2629
EU27_2020,2023,0.2867
EU27_2020,2024,0.2902
PL,2007,0.138
PL,2008,0.1277
PL,2009,0.1211
PL,2010,0.1362
PL,2011,0.1411
PL,2012,0.1474
PL,2013,0.1458
PL,2014,0.1415
PL,2015,0.1431
PL,2016,0.1342
PL,2017,0.1448
PL,2018,0.1403
PL,2019,0.136
PL,2020,0.1492
PL,2021,0.1561
PL,2022,0.1534
PL,2023,0.1966
PL,2024,0.2284
