country,year,co2,co2_per_capita
European Union (27),1990,3870.253,9.215
European Union (27),1991,3804.53,9.028
European Union (27),1992,3677.736,8.697
European Union (27),1993,3608.154,8.508
European Union (27),1994,3589.454,8.442
European Union (27),1995,3635.878,8.538
European Union (27),1996,3720.71,8.73
European Union (27),1997,3654.451,8.565
European Union (27),1998,3644.649,8.542
European Union (27),1999,3589.161,8.409
European Union (27),2000,3600.416,8.42
European Union (27),2001,3657.1,8.533
European Union (27),2002,3657.391,8.508
European Union (27),2003,3736.359,8.66
European Union (27),2004,3743.384,8.644
European Union (27),2005,3734.892,8.595
European Union (27),2006,3752.005,8.612
European Union (27),2007,3701.867,8.471
European Union (27),2008,3625.826,8.268
European Union (27),2009,3330.504,7.575
European Union (27),2010,3424.327,7.772
European Union (27),2011,3327.059,7.537
European Union (27),2012,3258.616,7.372
European Union (27),2013,3176.529,7.18
European Union (27),2014,3038.861,6.86
European Union (27),2015,3094.906,6.972
European Union (27),2016,3094.515,6.955
European Union (27),2017,3118.46,6.997
European Union (27),2018,3049.484,6.83
European Union (27),2019,2904.949,6.493
European Union (27),2020,2627.051,5.867
European Union (27),2021,2801.469,6.257
European Union (27),2022,2736.946,6.094
European Union (27),2023,2484.997,5.514
European Union (27),2024,2426.166,5.388
Poland,1990,376.342,9.889
Poland,1991,373.366,9.786
Poland,1992,364.283,9.528
Poland,1993,364.958,9.53
Poland,1994,359.991,9.388
Poland,1995,362.483,9.448
Poland,1996,377.119,9.831
Poland,1997,367.199,9.575
Poland,1998,338.98,8.845
Poland,1999,329.204,8.598
Poland,2000,317.306,8.294
Poland,2001,313.267,8.191
Poland,2002,305.852,8.0
Poland,2003,318.733,8.343
Poland,2004,323.621,8.479
Poland,2005,322.577,8.461
Poland,2006,336.387,8.836
Poland,2007,335.735,8.83
Poland,2008,329.428,8.67
Poland,2009,315.886,8.312
Poland,2010,334.028,8.768
Poland,2011,333.406,8.726
Poland,2012,325.778,8.518
Poland,2013,321.757,8.41
Poland,2014,309.415,8.086
Poland,2015,312.549,8.168
Poland,2016,323.3,8.449
Poland,2017,336.505,8.796
Poland,2018,335.719,8.779
Poland,2019,317.444,8.304
Poland,2020,302.102,7.914
Poland,2021,330.694,8.693
Poland,2022,314.892,8.203
Poland,2023,283.243,7.307
Poland,2024,272.862,7.08
