country,year,electricity_price
European Union (27),2007,0.1682
European Union (27),2008,0.164
European Union (27),2009,0.1674
European Union (27),2010,0.1751
European Union (27),2011,0.1872
European Union (27),2012,0.1956
European Union (27),2013,0.2052
European Union (27),2014,0.2071
European Union (27),2015,0.2086
European Union (27),2016,0.206
European Union (27),2017,0.2089
European Union (27),2018,0.2128
European Union (27),2019,0.2168
European Union (27),2020,0.2146
European Union (27),2021,0.2309
European Union (27),2022,0.2629
European Union (27),2023,0.2867
European Union (27),2024,0.2902
Poland,2007,0.138
Poland,2008,0.1277
Poland,2009,0.1211
Poland,2010,0.1362
Poland,2011,0.1411
Poland,2012,0.1474
Poland,2013,0.1458
Poland,2014,0.1415
Poland,2015,0.1431
Poland,2016,0.1342
Poland,2017,0.1448
Poland,2018,0.1403
Poland,2019,0.136
Poland,2020,0.1492
Poland,2021,0.1561
Poland,2022,0.1534
Poland,2023,0.1966
Poland,2024,0.2284
