country,year,electricity_price,population,co2,co2_per_capita
European Union (27),2007,0.1682,436994510.0,3701.867,8.471
European Union (27),2008,0.164,438548227.0,3625.826,8.268
European Union (27),2009,0.1674,439690812.0,3330.504,7.575
European Union (27),2010,0.1751,440608965.0,3424.327,7.772
European Union (27),2011,0.1872,441440625.0,3327.059,7.537
European Union (27),2012,0.1956,441999248.0,3258.616,7.372
European Union (27),2013,0.2052,442399413.0,3176.529,7.18
European Union (27),2014,0.2071,442964758.0,3038.861,6.86
European Union (27),2015,0.2086,443910920.0,3094.906,6.972
European Union (27),2016,0.206,444911502.0,3094.515,6.955
European Union (27),2017,0.2089,445696788.0,3118.46,6.997
European Union (27),2018,0.2128,446503671.0,3049.484,6.83
European Union (27),2019,0.2168,447369201.0,2904.949,6.493
European Union (27),2020,0.2146,447777523.0,2627.051,5.867
European Union (27),2021,0.2309,447705920.0,2801.469,6.257
European Union (27),2022,0.2629,449113463.0,2736.946,6.094
European Union (27),2023,0.2867,450657572.0,2484.997,5.514
European Union (27),2024,0.2902,450259560.0,2426.166,5.388
Poland,2007,0.138,38020420.0,335.735,8.83
Poland,2008,0.1277,37995902.0,329.428,8.67
Poland,2009,0.1211,38002153.0,315.886,8.312
Poland,2010,0.1362,38095356.0,334.028,8.768
Poland,2011,0.1411,38208644.0,333.406,8.726
Poland,2012,0.1474,38247867.0,325.778,8.518
Poland,2013,0.1458,38259267.0,321.757,8.41
Poland,2014,0.1415,38265113.0,309.415,8.086
Poland,2015,0.1431,38266314.0,312.549,8.168
Poland,2016,0.1342,38263260.0,323.3,8.449
Poland,2017,0.1448,38254964.0,336.505,8.796
Poland,2018,0.1403,38241070.0,335.719,8.779
Poland,2019,0.136,38225884.0,317.444,8.304
Poland,2020,0.1492,38171005.0,302.102,7.914
Poland,2021,0.1561,38040303.0,330.694,8.693
Poland,2022,0.1534,38385734.0,314.892,8.203
Poland,2023,0.1966,38762847.0,283.243,7.307
Poland,2024,0.2284,38539209.0,272.862,7.08
